UniqID_NUCL,N_COM_X,N_COM_Y,N_Orient
07-0289_f1_0002_-2514.01_-6588.91,-2514.01,-6588.91,0.415925
07-0289_f1_0002_-2378.03_-6590.34,-2378.03,-6590.34,-0.128298
07-0289_f1_0002_-2460.13_-6590.34,-2460.13,-6590.34,1.3695
07-0289_f1_0002_-2348.96_-6588.52,-2348.96,-6588.52,-0.562519
07-0289_f1_0002_-2388.81_-6592.39,-2388.81,-6592.39,-0.113582
07-0289_f1_0002_-2329.71_-6591.47,-2329.71,-6591.47,-0.751243
07-0289_f1_0002_-2416.41_-6592.01,-2416.41,-6592.01,0.17519
07-0289_f1_0002_-2361.59_-6593.16,-2361.59,-6593.16,-0.405391
07-0289_f1_0002_-2323.68_-6591.76,-2323.68,-6591.76,-0.275829
07-0289_f1_0002_-2507.2_-6591.12,-2507.2,-6591.12,0.819925
07-0289_f1_0002_-2345.73_-6591.42,-2345.73,-6591.42,-0.439661
07-0289_f1_0002_-2451.43_-6591.8,-2451.43,-6591.8,-1.40918
07-0289_f1_0002_-2336.14_-6592.56,-2336.14,-6592.56,-0.640233
07-0289_f1_0002_-2515.56_-6595.98,-2515.56,-6595.98,0.530362
07-0289_f1_0002_-2473.06_-6593.19,-2473.06,-6593.19,1.4183
07-0289_f1_0002_-2423.8_-6593.44,-2423.8,-6593.44,1.3411
07-0289_f1_0002_-2502.91_-6593.98,-2502.91,-6593.98,-0.662699
07-0289_f1_0002_-2509.34_-6595.5,-2509.34,-6595.5,0.850282
07-0289_f1_0002_-2439.84_-6593.9,-2439.84,-6593.9,-1.21426
07-0289_f1_0002_-2463.98_-6594.39,-2463.98,-6594.39,1.27831
07-0289_f1_0002_-2367.42_-6596.02,-2367.42,-6596.02,-0.336484
07-0289_f1_0002_-2455.4_-6596.44,-2455.4,-6596.44,1.31142
07-0289_f1_0002_-2340.38_-6597.09,-2340.38,-6597.09,-0.467842
07-0289_f1_0002_-2320.69_-6596.96,-2320.69,-6596.96,-0.081093
07-0289_f1_0002_-2523.46_-6595.83,-2523.46,-6595.83,-1.36347
07-0289_f1_0002_-2497.29_-6597.86,-2497.29,-6597.86,0.264474
07-0289_f1_0002_-2325.26_-6598.3,-2325.26,-6598.3,0.171324
07-0289_f1_0002_-2394.39_-6601.92,-2394.39,-6601.92,-0.428543
07-0289_f1_0002_-2473.71_-6597.41,-2473.71,-6597.41,-1.03798
07-0289_f1_0002_-2449.29_-6607.51,-2449.29,-6607.51,-0.508197
07-0289_f1_0002_-2468.74_-6598.23,-2468.74,-6598.23,-1.07855
07-0289_f1_0002_-2424.61_-6597.65,-2424.61,-6597.65,1.23267
07-0289_f1_0002_-2519.27_-6601.15,-2519.27,-6601.15,0.278054
07-0289_f1_0002_-2479.84_-6601.04,-2479.84,-6601.04,1.5035
07-0289_f1_0002_-2462.33_-6599.82,-2462.33,-6599.82,1.30169
07-0289_f1_0002_-2407.7_-6601.82,-2407.7,-6601.82,-1.06026
07-0289_f1_0002_-2525.75_-6600.89,-2525.75,-6600.89,-1.37481
07-0289_f1_0002_-2414.92_-6600.23,-2414.92,-6600.23,1.48949
07-0289_f1_0002_-2386.61_-6603.28,-2386.61,-6603.28,-0.631474
07-0289_f1_0002_-2331.67_-6600.12,-2331.67,-6600.12,1.37189
07-0289_f1_0002_-2509.35_-6601,-2509.35,-6601,0.58858
07-0289_f1_0002_-2456.17_-6602.55,-2456.17,-6602.55,-0.053633
07-0289_f1_0002_-2320.28_-6602.31,-2320.28,-6602.31,-0.315115
07-0289_f1_0002_-2425.57_-6605.07,-2425.57,-6605.07,0.087571
07-0289_f1_0002_-2465.23_-6607.72,-2465.23,-6607.72,0.727057
07-0289_f1_0002_-2335.45_-6604.52,-2335.45,-6604.52,-0.805
07-0289_f1_0002_-2512.94_-6604.59,-2512.94,-6604.59,0.476885
07-0289_f1_0002_-2341.24_-6605.12,-2341.24,-6605.12,1.00002
07-0289_f1_0002_-2325.87_-6606.48,-2325.87,-6606.48,0.229927
07-0289_f1_0002_-2800.93_-6606.87,-2800.93,-6606.87,-1.51166
07-0289_f1_0002_-2793.6_-6604.34,-2793.6,-6604.34,1.38934
07-0289_f1_0002_-2523.28_-6607.14,-2523.28,-6607.14,1.02578
07-0289_f1_0002_-2528.21_-6610.41,-2528.21,-6610.41,0.128671
07-0289_f1_0002_-2412.96_-6607.27,-2412.96,-6607.27,0.464347
07-0289_f1_0002_-2418.59_-6609.83,-2418.59,-6609.83,1.20885
07-0289_f1_0002_-2483.77_-6608.95,-2483.77,-6608.95,-0.700071
07-0289_f1_0002_-2331.84_-6608.02,-2331.84,-6608.02,-0.259778
07-0289_f1_0002_-2516.39_-6607.75,-2516.39,-6607.75,0.076741
07-0289_f1_0002_-2468.61_-6615.13,-2468.61,-6615.13,0.752235
07-0289_f1_0002_-2390.87_-6609.05,-2390.87,-6609.05,-0.155804
07-0289_f1_0002_-2655.07_-6609.75,-2655.07,-6609.75,1.26725
07-0289_f1_0002_-2792.92_-6608.79,-2792.92,-6608.79,1.55112
07-0289_f1_0002_-2785.78_-6609.89,-2785.78,-6609.89,0.789993
07-0289_f1_0002_-2440.66_-6610.05,-2440.66,-6610.05,0.15176
07-0289_f1_0002_-2386.03_-6608.72,-2386.03,-6608.72,-0.783122
07-0289_f1_0002_-2807.21_-6609.97,-2807.21,-6609.97,0.914197
07-0289_f1_0002_-2458.62_-6610.31,-2458.62,-6610.31,0.087417
07-0289_f1_0002_-2382.13_-6611.22,-2382.13,-6611.22,-0.239938
07-0289_f1_0002_-2375.02_-6609.83,-2375.02,-6609.83,-1.51828
